Name	bwpd	Depth	Layer	Cyanos	Color	Brep	Erep
9.8_Bottom_B8_e1	1.95292	9.8	Bottom	0.005112152	"""chartreuse4"""	8	1
9.8_Bottom_B7_e1	1.85835	9.8	Bottom	0.005112152	"""chartreuse4"""	7	1
9.8_Bottom_B6_e1	1.72312	9.8	Bottom	0.005112152	"""chartreuse4"""	6	1
9.8_Bottom_B5_e1	1.3011	9.8	Bottom	0.005112152	"""chartreuse4"""	5	1
9.8_Bottom_B4_e1	1.9209	9.8	Bottom	0.005112152	"""chartreuse4"""	4	1
9.8_Bottom_B3_e2	1.83233	9.8	Bottom	0.005112152	"""chartreuse4"""	3	2
9.8_Bottom_B3_e1	1.89912	9.8	Bottom	0.005112152	"""chartreuse4"""	3	1
9.8_Bottom_B2_e1	1.79723	9.8	Bottom	0.005112152	"""chartreuse4"""	2	1
9.8_Bottom_B1_e1	1.3795	9.8	Bottom	0.005112152	"""chartreuse4"""	1	1
9.8_Middle_B9_e2	1.86805	9.8	Middle	0.012826244	"""chartreuse3"""	9	2
9.8_Middle_B9_e1	1.74953	9.8	Middle	0.012826244	"""chartreuse3"""	9	1
9.8_Middle_B8_e2	1.83097	9.8	Middle	0.012826244	"""chartreuse3"""	8	2
9.8_Middle_B8_e1	1.91261	9.8	Middle	0.012826244	"""chartreuse3"""	8	1
9.8_Middle_B7_e1	1.83155	9.8	Middle	0.012826244	"""chartreuse3"""	7	1
9.8_Middle_B5_e2	1.70118	9.8	Middle	0.012826244	"""chartreuse3"""	5	2
9.8_Middle_B5_e1	1.99667	9.8	Middle	0.012826244	"""chartreuse3"""	5	1
9.8_Middle_B3_e1	1.93044	9.8	Middle	0.012826244	"""chartreuse3"""	3	1
9.8_Middle_B2_e1	2.296	9.8	Middle	0.012826244	"""chartreuse3"""	2	1
9.8_Middle_B1_e2	1.68207	9.8	Middle	0.012826244	"""chartreuse3"""	1	2
9.8_Middle_B1_e1	2.01212	9.8	Middle	0.012826244	"""chartreuse3"""	1	1
9.8_Top_B9_e1	1.59955	9.8	Top	0.322210279	"""chartreuse"""	9	1
9.8_Top_B8_e1	1.60661	9.8	Top	0.322210279	"""chartreuse"""	8	1
9.8_Top_B7_e2	1.88145	9.8	Top	0.322210279	"""chartreuse"""	7	2
9.8_Top_B7_e1	0.295442	9.8	Top	0.322210279	"""chartreuse"""	7	1
9.8_Top_B6_e1	1.38149	9.8	Top	0.322210279	"""chartreuse"""	6	1
9.8_Top_B5_e2	1.91216	9.8	Top	0.322210279	"""chartreuse"""	5	2
9.8_Top_B5_e1	1.44853	9.8	Top	0.322210279	"""chartreuse"""	5	1
9.8_Top_B4_e2	1.96626	9.8	Top	0.322210279	"""chartreuse"""	4	2
9.8_Top_B4_e1	1.8869	9.8	Top	0.322210279	"""chartreuse"""	4	1
9.8_Top_B3_e1	1.68865	9.8	Top	0.322210279	"""chartreuse"""	3	1
9.8_Top_B2_e1	1.99417	9.8	Top	0.322210279	"""chartreuse"""	2	1
9.8_Top_B1_e2	1.7323	9.8	Top	0.322210279	"""chartreuse"""	1	2
9.8_Top_B1_e1	1.30871	9.8	Top	0.322210279	"""chartreuse"""	1	1
9.8_Film_B3_e1	1.6797	9.8	Film	0.702258804	"""darkolivegreen3"""	3	1
9.8_Film_B2_e2	0.703392	9.8	Film	0.702258804	"""darkolivegreen3"""	2	2
9.8_Film_B2_e1	1.48267	9.8	Film	0.702258804	"""darkolivegreen3"""	2	1
9.8_Film_B1_e2	0.601597	9.8	Film	0.702258804	"""darkolivegreen3"""	1	2
9.8_Film_B1_e1	0.909805	9.8	Film	0.702258804	"""darkolivegreen3"""	1	1
9.35_Bottom_B9_e1	2.07056	9.35	Bottom	0.000860423	"""orange4"""	9	1
9.35_Bottom_B8_e2	2.123	9.35	Bottom	0.000860423	"""orange4"""	8	2
9.35_Bottom_B8_e1	1.90939	9.35	Bottom	0.000860423	"""orange4"""	8	1
9.35_Bottom_B7_e1	2.15979	9.35	Bottom	0.000860423	"""orange4"""	7	1
9.35_Bottom_B6_e2	2.33074	9.35	Bottom	0.000860423	"""orange4"""	6	2
9.35_Bottom_B6_e1	2.5651	9.35	Bottom	0.000860423	"""orange4"""	6	1
9.35_Bottom_B5_e2	1.882	9.35	Bottom	0.000860423	"""orange4"""	5	2
9.35_Bottom_B5_e1	2.62499	9.35	Bottom	0.000860423	"""orange4"""	5	1
9.35_Bottom_B4_e2	1.8882	9.35	Bottom	0.000860423	"""orange4"""	4	2
9.35_Bottom_B4_e1	2.01	9.35	Bottom	0.000860423	"""orange4"""	4	1
9.35_Bottom_B3_e2	2.28707	9.35	Bottom	0.000860423	"""orange4"""	3	2
9.35_Bottom_B3_e1	1.96335	9.35	Bottom	0.000860423	"""orange4"""	3	1
9.35_Bottom_B2_e2	2.52975	9.35	Bottom	0.000860423	"""orange4"""	2	2
9.35_Bottom_B2_e1	2.57549	9.35	Bottom	0.000860423	"""orange4"""	2	1
9.35_Bottom_B1_e2	3.04908	9.35	Bottom	0.000860423	"""orange4"""	1	2
9.35_Bottom_B1_e1	2.00238	9.35	Bottom	0.000860423	"""orange4"""	1	1
9.35_Middle_B9_e2	1.85273	9.35	Middle	0.001869417	"""orange3"""	9	2
9.35_Middle_B9_e1	1.2618	9.35	Middle	0.001869417	"""orange3"""	9	1
9.35_Middle_B8_e2	2.05996	9.35	Middle	0.001869417	"""orange3"""	8	2
9.35_Middle_B8_e1	1.61341	9.35	Middle	0.001869417	"""orange3"""	8	1
9.35_Middle_B7_e1	1.68526	9.35	Middle	0.001869417	"""orange3"""	7	1
9.35_Middle_B6_e1	1.65534	9.35	Middle	0.001869417	"""orange3"""	6	1
9.35_Middle_B5_e2	1.65801	9.35	Middle	0.001869417	"""orange3"""	5	2
9.35_Middle_B5_e1	1.67338	9.35	Middle	0.001869417	"""orange3"""	5	1
9.35_Middle_B4_e2	1.78639	9.35	Middle	0.001869417	"""orange3"""	4	2
9.35_Middle_B4_e1	2.00459	9.35	Middle	0.001869417	"""orange3"""	4	1
9.35_Middle_B3_e1	1.85135	9.35	Middle	0.001869417	"""orange3"""	3	1
9.35_Middle_B2_e2	2.0725	9.35	Middle	0.001869417	"""orange3"""	2	2
9.35_Middle_B2_e1	1.81653	9.35	Middle	0.001869417	"""orange3"""	2	1
9.35_Middle_B1_e2	1.91495	9.35	Middle	0.001869417	"""orange3"""	1	2
9.35_Middle_B1_e1	1.68863	9.35	Middle	0.001869417	"""orange3"""	1	1
9.35_Top_B9_e2	1.8755	9.35	Top	0.010190714	"""orange"""	9	2
9.35_Top_B9_e1	2.28684	9.35	Top	0.010190714	"""orange"""	9	1
9.35_Top_B8_e2	1.99349	9.35	Top	0.010190714	"""orange"""	8	2
9.35_Top_B8_e1	1.73251	9.35	Top	0.010190714	"""orange"""	8	1
9.35_Top_B7_e2	1.85963	9.35	Top	0.010190714	"""orange"""	7	2
9.35_Top_B7_e1	1.61621	9.35	Top	0.010190714	"""orange"""	7	1
9.35_Top_B6_e2	1.84751	9.35	Top	0.010190714	"""orange"""	6	2
9.35_Top_B6_e1	1.80625	9.35	Top	0.010190714	"""orange"""	6	1
9.35_Top_B5_e2	1.72669	9.35	Top	0.010190714	"""orange"""	5	2
9.35_Top_B5_e1	1.49224	9.35	Top	0.010190714	"""orange"""	5	1
9.35_Top_B4_e1	2.09439	9.35	Top	0.010190714	"""orange"""	4	1
9.35_Top_B3_e1	1.60432	9.35	Top	0.010190714	"""orange"""	3	1
9.35_Top_B2_e2	1.91483	9.35	Top	0.010190714	"""orange"""	2	2
9.35_Top_B2_e1	1.73646	9.35	Top	0.010190714	"""orange"""	2	1
9.35_Top_B1_e1	1.68516	9.35	Top	0.010190714	"""orange"""	1	1
9_Bottom_B9_e2	3.33105	9	Bottom	0.004638015	"""mediumpurple4"""	9	2
9_Bottom_B9_e1	2.91406	9	Bottom	0.004638015	"""mediumpurple4"""	9	1
9_Bottom_B8_e1	2.88325	9	Bottom	0.004638015	"""mediumpurple4"""	8	1
