Z_1 distances:	9.8_Top_B1_e1	9.8_Top_B1_e2	9.8_Middle_B1_e1	9.8_Middle_B1_e2	9.8_Bottom_B1_e1	9.8_Top_B2_e1	9.8_Middle_B2_e1	9.8_Middle_B2_e2	9.8_Bottom_B2_e1	9.8_Top_B3_e1	9.8_Middle_B3_e1	9.8_Bottom_B3_e1	9.8_Bottom_B3_e2	9.8_Film_B1_e1	9.8_Film_B1_e2	9.8_Top_B4_e1	9.8_Top_B4_e2	9.8_Bottom_B4_e1	9.8_Top_B5_e1	9.8_Top_B5_e2	9.8_Middle_B5_e1	9.8_Middle_B5_e2	9.8_Bottom_B5_e1	9.8_Top_B6_e1	9.8_Middle_B6_e1	9.8_Bottom_B6_e1	9.8_Film_B2_e1	9.8_Film_B2_e2	9.8_Top_B7_e1	9.8_Top_B7_e2	9.8_Middle_B7_e1	9.8_Bottom_B7_e1	9.8_Top_B8_e1	9.8_Middle_B8_e1	9.8_Middle_B8_e2	9.8_Bottom_B8_e1	9.8_Top_B9_e1	9.8_Middle_B9_e1	9.8_Middle_B9_e2	9.8_Film_B3_e1	9_Knob_B1_e1	9_Knob_B1_e2	9_Knob_B2_e1	9_Ridge_B1_e1	9_Ridge_B1_e2	9_Ridge_B2_e1	9_Ridge_B3_e1	9_Top_B1_e1	9_Top_B1_e2	9_Top_B2_e2	9_Top_B3_e1	9_Top_B3_e2	9_Top_B4_e1	9_Top_B4_e2	9_Middle_B1_e1	9_Middle_B1_e2	9_Middle_B2_e2	9_Middle_B3_e1	9_Middle_B3_e2	9_Middle_B4_e1	9_Middle_B4_e2	9_Bottom_B1_e1	9_Bottom_B1_e2	9_Bottom_B3_e1	9_Bottom_B3_e2	9_Bottom_B4_e1	9_Bottom_B4_e2	9_Knob_B3_e1	9_Knob_B4_e1	9_Knob_B5_e1	9_Top_B5_e1	9_Top_B6_e1	9_Top_B8_e1	9_Top_B9_e1	9_Top_B9_e2	9_Top_B7_e1	9_Middle_B5_e1	9_Middle_B5_e2	9_Middle_B6_e1	9_Middle_B6_e2	9_Middle_B7_e1	9_Middle_B7_e2	9_Bottom_B5_e1	9_Bottom_B5_e2	9_Bottom_B6_e1	9_Bottom_B6_e2	9_Bottom_B7_e1	9_Bottom_B7_e2	9_Top_B10_e1	9_Top_B11_e1	9_Middle_B8_e1	9_Middle_B8_e2	9_Middle_B9_e1	9_Middle_B9_e2	9_Middle_B10_e1	9_Middle_B10_e2	9_Bottom_B8_e1	9_Bottom_B9_e1	9_Bottom_B9_e2	9_Bottom_B10_e1	9.35_Top_B1_e1	9.35_Middle_B1_e1	9.35_Middle_B1_e2	9.35_Bottom_B1_e1	9.35_Bottom_B1_e2	9.35_Top_B2_e1	9.35_Top_B2_e2	9.35_Middle_B2_e1	9.35_Middle_B2_e2	9.35_Bottom_B2_e1	9.35_Bottom_B2_e2	9.35_Top_B3_e1	9.35_Middle_B3_e1	9.35_Bottom_B3_e1	9.35_Bottom_B3_e2	9.35_Top_B4_e1	9.35_Middle_B4_e1	9.35_Middle_B4_e2	9.35_Bottom_B4_e1	9.35_Bottom_B4_e2	9.35_Top_B5_e1	9.35_Top_B5_e2	9.35_Middle_B5_e1	9.35_Middle_B5_e2	9.35_Bottom_B5_e1	9.35_Bottom_B5_e2	9.35_Top_B6_e1	9.35_Top_B6_e2	9.35_Middle_B6_e1	9.35_Bottom_B6_e1	9.35_Bottom_B6_e2	9.35_Top_B7_e1	9.35_Top_B7_e2	9.35_Middle_B7_e1	9.35_Bottom_B7_e1	9.35_Top_B8_e1	9.35_Top_B8_e2	9.35_Middle_B8_e1	9.35_Middle_B8_e2	9.35_Bottom_B8_e1	9.35_Bottom_B8_e2	9.35_Top_B9_e1	9.35_Top_B9_e2	9.35_Middle_B9_e1	9.35_Middle_B9_e2	9.35_Bottom_B9_e1
9.8_Top_B1_e1		1.31367	1.21989	0.810792	0.581014	1.10503	1.33857	1.10922	0.807707	0.718525	1.25194	0.916659	0.852763	1.5306	1.65161	0.88834	1.01893	0.849809	0.50965	1.13276	1.30787	0.695961	0.580154	1.44786	1.96433	0.788176	0.753513	1.75362	1.8105	0.747001	0.871454	0.799897	0.749417	1.29188	0.907543	0.988294	1.50359	0.961492	0.940617	1.32047	0.9115	1.74524	1.10596	1.0918	1.17968	1.05744	1.15403	1.0417	1.13976	1.02745	1.14544	1.21904	1.21279	1.13943	1.24183	1.29599	1.19649	1.50126	1.37942	1.37152	1.69736	1.44609	2.1116	0.928733	1.8004	1.57257	1.44746	0.894646	0.940636	1.16755	0.952188	1.15208	1.28612	1.21476	1.19548	1.04878	1.11788	1.27193	1.21368	1.45031	1.12377	1.21699	1.59475	1.49125	1.72067	1.71887	1.84525	1.68193	1.09408	1.09397	1.44613	1.44432	1.61322	1.5427	1.67284	1.114	1.71372	1.90383	2.17102	1.94242	0.773364	0.625163	0.862272	0.917486	1.66232	0.79768	0.962491	0.700006	1.02548	1.40511	1.28046	0.720137	0.731951	1.14153	1.49141	1.01586	0.840535	0.888336	0.965402	0.910203	0.677387	0.85371	0.638013	0.656788	1.29368	0.85214	0.887833	0.913532	0.686241	1.43766	1.32318	0.778063	0.847085	0.732336	0.98783	0.69894	0.930874	0.662639	0.88505	1.0525	1.20929	1.99788	1.0064	1.37254	0.76068	0.927084
9.8_Top_B1_e2			0.476685	1.25801	1.38331	0.557495	1.46783	1.81788	1.25972	1.29097	0.410224	1.32809	1.3646	0.50642	0.604266	0.906957	0.769208	1.2201	1.32356	0.486407	0.337693	1.22124	1.45626	0.438048	2.07214	1.38199	1.46466	0.666665	0.755045	1.24538	1.39797	1.38046	1.50743	0.547163	1.34485	1.27071	0.469775	1.37043	1.31625	0.341387	1.3404	1.93083	1.44092	1.01686	0.701016	1.39074	1.061	0.912944	0.830515	0.956706	0.717356	0.469915	0.593621	0.631451	1.28495	1.18415	1.14653	1.43248	1.13294	0.979219	1.30651	1.57674	2.25548	1.3306	1.96248	1.62262	1.46392	1.03233	1.30316	1.36337	1.48644	0.757116	0.811493	0.555675	0.946066	0.806028	0.634132	1.10164	1.17558	1.32369	1.12204	1.10858	1.68478	1.53876	1.85567	1.77523	1.90909	1.78863	0.918356	0.905978	1.35775	1.41977	1.46481	1.48155	1.61127	1.25754	1.80634	1.96821	2.18139	1.95567	1.33498	1.26519	1.46384	1.53443	1.96565	1.33604	1.35392	1.37787	1.45095	1.71497	1.81607	1.35182	1.36476	1.5079	1.63092	1.33164	1.45137	1.34612	1.62319	1.46482	1.38445	1.40087	1.45172	1.34063	1.75347	1.422	1.34149	1.22792	1.36054	1.78278	1.64908	1.38589	1.35395	1.28853	1.68114	1.28601	1.39716	1.32294	1.50193	1.484	1.4542	1.95763	1.27495	1.43395	1.40198	1.5296
9.8_Middle_B1_e1				1.12112	1.31685	0.480544	1.36074	1.74811	1.18169	1.2136	0.465612	1.19203	1.15106	0.696491	0.828095	0.750362	0.666419	1.02036	1.15835	0.405644	0.470374	1.13347	1.36342	0.684337	2.07199	1.11129	1.37681	0.906719	0.958579	1.13617	1.23874	1.21685	1.32962	0.535636	1.2523	1.15487	0.608843	1.2467	1.30961	0.508474	1.27857	1.94382	1.34184	0.95241	0.715519	1.26487	0.913848	0.857375	0.890248	0.887647	0.720203	0.538353	0.678221	0.686436	1.24717	1.22438	1.03551	1.37	1.14216	1.01319	1.32358	1.58208	2.25696	1.20025	1.93604	1.68721	1.50214	0.98109	1.21909	1.31649	1.41405	0.778293	0.830829	0.6469	0.915507	0.737814	0.600347	1.11661	1.18884	1.31265	1.05882	1.05546	1.74061	1.62147	1.85319	1.82811	1.93972	1.76206	0.883954	0.814869	1.34538	1.33421	1.50323	1.42595	1.59632	1.18756	1.78348	1.9934	2.27144	2.01644	1.24396	1.20159	1.39726	1.44304	1.77111	1.16106	1.24567	1.24649	1.31236	1.70812	1.72851	1.28895	1.19362	1.48143	1.64327	1.14899	1.29047	1.12953	1.43845	1.34179	1.25091	1.25666	1.37368	1.20047	1.6391	1.27922	1.19924	1.04777	1.32016	1.72942	1.51996	1.16514	1.22111	1.165	1.59601	1.26825	1.18789	1.14643	1.33897	1.40793	1.4046	1.94804	1.07907	1.3631	1.38207	1.31144
9.8_Middle_B1_e2					0.701115	0.97793	1.19948	1.35648	0.719098	0.810028	0.977851	0.887991	0.989667	1.46615	1.59096	0.82327	0.869923	0.674067	0.810171	1.04227	1.16701	0.761215	0.908181	1.4508	2.04324	0.779383	0.728092	1.68567	1.73048	0.594578	0.978435	1.03406	1.03929	1.1243	0.667088	0.755618	1.44354	0.802057	0.951666	1.26043	0.838684	1.83855	0.624035	0.803033	1.12728	0.947391	0.937907	0.756692	1.08593	0.897301	0.964773	1.16109	1.1126	1.07596	0.997868	1.21663	1.15682	1.34665	1.24371	1.28147	1.56822	1.50937	2.25737	0.765601	1.77602	1.48228	1.25551	0.789786	0.719921	1.04504	1.06298	1.04361	1.00459	1.25111	1.1691	0.948089	0.98576	1.03398	0.957535	1.34034	0.907371	1.06117	1.74848	1.54799	1.83727	1.87918	1.84843	1.72149	0.854471	0.813267	1.31731	1.28236	1.5573	1.47017	1.57998	0.963577	1.84914	1.85565	2.31008	1.8951	0.66925	0.646581	0.978824	0.9465	1.58444	0.688214	0.780763	0.866958	0.864025	1.3354	1.38813	0.947459	0.871256	0.974927	1.30771	1.06747	0.996418	0.768905	1.00031	1.00681	0.787777	0.828371	0.788627	0.720141	1.43673	0.913904	0.777038	0.760723	0.759731	1.25486	1.16898	0.782559	0.690083	0.701417	1.1102	0.669926	0.911157	0.677022	0.782994	0.954138	1.1415	2.07354	0.798096	1.40739	0.87603	1.05424
9.8_Bottom_B1_e1						1.14819	1.19122	1.20039	0.681237	0.524871	1.26837	0.869621	0.838439	1.49977	1.65166	0.976732	0.978884	0.896751	0.603642	1.21101	1.22164	0.75298	0.540663	1.45666	1.96565	0.832171	0.496113	1.66828	1.80749	0.602511	0.945293	0.750929	0.61008	1.32006	0.791023	0.979387	1.49425	0.945212	0.96744	1.32382	0.86218	1.75946	0.986045	0.9734	1.16259	1.06092	1.15639	1.00943	1.20324	1.06897	1.18622	1.18543	1.15976	1.1447	1.16135	1.25597	1.20236	1.41444	1.32437	1.30037	1.66636	1.42201	2.21391	0.93972	1.65111	1.36957	1.25084	0.894843	0.984604	1.10333	0.970175	0.990318	1.20593	1.30241	1.31178	1.03418	1.12333	1.17642	1.10551	1.33078	1.01302	1.16937	1.61277	1.40967	1.73383	1.66965	1.61225	1.60372	0.955791	1.11734	1.33748	1.44142	1.51623	1.51979	1.54322	1.01469	1.79176	1.77076	2.14287	1.79296	0.75748	0.551985	0.759737	0.95251	1.59439	0.783653	0.96406	0.704037	0.966099	1.20906	1.26658	0.913682	0.685521	1.11831	1.39255	1.08761	0.802491	0.720175	0.917079	0.881754	0.790935	0.832925	0.688881	0.620964	1.33579	0.766733	0.800541	0.886454	0.602253	1.32629	1.20389	0.852867	0.813432	0.701001	0.966511	0.784906	0.950092	0.602105	0.851896	1.07341	1.04496	2.01139	0.929352	1.36447	0.704944	0.871868
9.8_Top_B2_e1							1.30824	1.69329	1.09763	1.10269	0.376982	1.19304	1.13866	0.790969	0.909399	0.653065	0.620449	0.973147	1.17316	0.423586	0.472134	0.98824	1.2613	0.665013	2.06985	1.13659	1.22241	0.982023	1.03703	1.04064	1.29753	1.25606	1.32882	0.478244	1.15528	1.14588	0.690997	1.15499	1.15429	0.579225	1.15436	1.88982	1.20674	0.838749	0.643936	1.12354	0.84938	0.68751	0.803273	0.756493	0.547378	0.576802	0.56731	0.596299	1.16713	1.11717	0.992958	1.31132	1.047	0.936369	1.29175	1.51393	2.27997	1.10575	1.88444	1.56909	1.41442	0.848721	1.0691	1.20117	1.39307	0.660161	0.728244	0.661166	0.862763	0.61475	0.52572	1.01145	1.08597	1.22883	0.979738	0.978111	1.72527	1.50897	1.75762	1.80159	1.84987	1.694	0.722986	0.727651	1.29211	1.23101	1.432	1.40849	1.56112	1.07393	1.8185	1.94419	2.25812	1.94433	1.07203	1.04058	1.33044	1.33132	1.78626	1.06361	1.11522	1.18459	1.26526	1.52368	1.63548	1.22936	1.20454	1.37679	1.54017	1.05563	1.18716	1.12987	1.45144	1.22211	1.12194	1.1933	1.26651	1.11514	1.6037	1.22096	1.15468	0.995178	1.19101	1.61953	1.47313	1.20003	1.10009	1.07162	1.49962	1.05453	1.12855	1.13363	1.22104	1.29016	1.27921	1.99057	1.10062	1.42048	1.19977	1.3321
9.8_Middle_B2_e1								1.85039	0.912956	0.978824	1.4066	0.9366	1.01725	1.73854	1.85953	1.09192	1.24574	1.13923	1.19423	1.40492	1.40227	1.18794	1.2168	1.65534	2.21161	1.18201	1.10781	1.8914	1.98672	1.10937	1.1465	0.958442	1.09503	1.48392	1.03651	0.983942	1.49952	1.09533	1.17702	1.45729	1.3669	2.06022	1.28024	1.20406	1.33523	1.18012	1.27146	1.15678	1.1233	1.20606	1.22899	1.32999	1.38267	1.24025	1.10142	1.22175	1.2516	1.35963	1.25663	1.24238	1.58212	1.43457	2.23969	1.05273	1.79908	1.3971	1.25039	1.2269	1.28598	1.21767	1.52367	1.17532	1.16833	1.36574	1.34151	1.21682	1.25077	1.03578	0.975999	1.37405	0.987024	1.23579	1.66757	1.4195	1.77939	1.6988	1.69676	1.72062	1.04378	1.10857	1.32471	1.39103	1.50718	1.6183	1.62832	1.08582	1.80121	1.68773	2.14862	1.71558	1.08695	1.02715	1.16077	1.17774	1.57936	1.21953	1.24343	0.973587	1.10812	1.34946	1.49705	1.35125	0.953797	1.1369	1.30584	1.16459	0.994079	0.890484	1.21628	1.08223	1.27407	1.22086	1.14084	1.04866	1.38842	0.864116	1.02263	1.11114	1.00849	1.38667	1.22818	1.33499	1.16763	1.01384	1.35454	1.21205	0.971227	1.13863	1.0809	1.15299	1.10771	1.58217	1.07419	1.48788	1.11238	1.1399
9.8_Middle_B2_e2									1.45749	1.32645	1.73358	1.48692	1.57548	1.96559	2.03569	1.56958	1.6414	1.59797	1.19455	1.68439	1.81705	1.35751	1.17424	1.96432	2.24588	1.39052	1.26627	2.12935	2.14962	1.33734	1.45046	1.43988	1.32951	1.77716	1.4285	1.54616	2.02489	1.56442	1.54411	1.84826	1.39795	2.03598	1.57119	1.63031	1.50466	1.66917	1.75848	1.51387	1.68703	1.38211	1.67807	1.62142	1.78644	1.68307	1.78942	1.87382	1.74095	2.07401	1.87644	1.92011	2.26323	1.97076	2.62222	1.48417	2.41627	2.07389	1.93077	1.40029	1.43204	1.67725	0.95762	1.615	1.78505	1.70954	1.67162	1.54046	1.68968	1.80323	1.80691	2.01105	1.687	1.78255	2.17936	2.02724	2.28045	2.2009	2.30234	2.15799	1.6018	1.64748	2.00833	1.99717	2.11729	2.06257	2.2359	1.66782	2.28048	2.4442	2.63759	2.36735	1.31921	1.34304	1.46831	1.55512	2.17998	1.43935	1.53076	1.4249	1.61159	1.9479	1.84107	1.20432	1.35342	1.669	2.0248	1.51834	1.45636	1.4517	1.55054	1.5802	1.06433	1.25436	1.28818	1.28172	1.93226	1.42649	1.36693	1.41981	1.24278	1.95488	1.83027	1.06345	1.2801	1.35736	1.58056	1.23556	1.46067	1.33351	1.56579	1.6313	1.71843	2.31283	1.6118	1.70991	1.42978	1.53987
9.8_Bottom_B2_e1										0.531936	1.17915	0.679281	0.841126	1.54127	1.6682	0.760016	0.899685	0.72437	0.788096	1.14281	1.13341	0.705998	0.946972	1.45366	2.04088	0.767796	0.807333	1.70424	1.82004	0.559548	0.886706	0.772782	0.842508	1.19871	0.737935	0.73398	1.35048	0.765832	0.827662	1.31063	0.897978	1.8492	0.92117	0.910301	1.121	1.04421	1.00367	0.818041	1.0349	0.907844	0.965574	1.18084	1.08171	1.02423	1.02326	1.16715	1.14224	1.33226	1.23067	1.17738	1.50873	1.38938	2.18244	0.862574	1.68346	1.30881	1.17128	0.805724	0.893893	1.07636	1.15888	0.967059	1.00373	1.20683	1.19106	0.930943	1.01163	1.04184	0.945976	1.21821	0.869832	1.06447	1.54406	1.36565	1.69465	1.63126	1.70486	1.61429	0.87317	0.912142	1.25307	1.37102	1.486	1.46166	1.56795	1.03605	1.713	1.64984	2.07048	1.73043	0.695138	0.587145	0.905209	0.962888	1.47314	0.701069	0.924891	0.696536	0.867621	1.29225	1.35547	0.918784	0.687335	1.05932	1.39311	0.822329	0.83576	0.602081	0.992551	0.93557	0.813573	0.78085	0.862276	0.688776	1.28683	0.748101	0.616832	0.745944	0.734695	1.35154	1.12817	0.895912	0.650839	0.66971	1.13678	0.708742	0.682659	0.675001	0.843438	1.05991	1.045	1.95402	0.667988	1.38921	0.814228	0.954418
9.8_Top_B3_e1											1.26119	0.70059	0.686458	1.54229	1.68964	0.834208	0.986771	0.885313	0.630103	1.17221	1.28231	0.763822	0.695137	1.52175	2.01951	0.748065	0.624554	1.75409	1.84383	0.63867	0.760429	0.546545	0.584289	1.30436	0.747861	0.793154	1.36864	0.853533	0.838402	1.24345	0.895963	1.8274	1.05381	1.03308	1.11276	0.988283	1.15703	0.936315	1.01731	1.0397	1.12038	1.21687	1.15264	1.09362	1.05577	1.1601	1.12483	1.42263	1.2062	1.22712	1.5724	1.3387	2.15397	0.945263	1.73166	1.32751	1.22662	0.835959	0.955686	1.04362	1.07958	0.99754	1.11057	1.26074	1.17758	1.00351	1.06944	1.09708	1.06549	1.21132	0.991537	1.05828	1.5162	1.30323	1.65032	1.57707	1.62786	1.6013	1.01517	1.10115	1.30105	1.34121	1.45454	1.36111	1.60233	1.00365	1.6944	1.73408	2.09362	1.72425	0.753723	0.568205	0.73568	0.879805	1.47129	0.780956	0.906472	0.586051	0.814596	1.22533	1.2407	0.905536	0.541543	1.05365	1.34594	0.876036	0.585891	0.547873	0.859034	0.808273	0.837646	0.801036	0.71378	0.561553	1.17709	0.556283	0.669016	0.734605	0.576442	1.25402	1.08884	0.841935	0.762594	0.658754	0.956512	0.757084	0.717365	0.565011	0.736625	1.04088	0.990792	1.9435	0.878584	1.39032	0.69075	0.781292
