KO	Replicate	Depth	Layer	Sample	Element	General.Process	Specific.Process	Gene.products..enzymes	Gene.clusters	KEGG_Homologs_per_Gene_Cluster	KEGG_Description	KEGG_Metabolism	CPM
K00376	9.4_B_3C_2	9.0	Top	9_Top	Nitrogen	Denitrification	Nitrogenase	N2O Reductase	nos	1	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	Nitrogen_Metabolism	0
K00376	9.4_B_3C	9.0	Top	9_Top	Nitrogen	Denitrification	Nitrogenase	N2O Reductase	nos	1	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	Nitrogen_Metabolism	6
K00376	9.4_A_3C	9.0	Top	9_Top	Nitrogen	Denitrification	Nitrogenase	N2O Reductase	nos	1	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	Nitrogen_Metabolism	15
K00376	9.4_C_3B	9.0	Top	9_Top	Nitrogen	Denitrification	Nitrogenase	N2O Reductase	nos	1	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	Nitrogen_Metabolism	9
K00376	9.4_C_3A	9.0	Top	9_Top	Nitrogen	Denitrification	Nitrogenase	N2O Reductase	nos	1	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	Nitrogen_Metabolism	0
K00376	9.4_B_3B	9.0	Top	9_Top	Nitrogen	Denitrification	Nitrogenase	N2O Reductase	nos	1	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	Nitrogen_Metabolism	5
K00376	9.4_A_3D	9.0	Top	9_Top	Nitrogen	Denitrification	Nitrogenase	N2O Reductase	nos	1	nosZ; nitrous-oxide reductase [EC:1.7.2.4]	Nitrogen_Metabolism	16
K00380	9.4_B_3C_2	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	cys	2	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component	Sulfur_Metabolism	0
K00380	9.4_A_3C	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	cys	2	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component	Sulfur_Metabolism	0
K00380	9.4_C_3A	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	cys	2	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component	Sulfur_Metabolism	0
K00380	9.4_C_3B	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	cys	2	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component	Sulfur_Metabolism	8
K00380	9.4_A_3D	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	cys	2	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component	Sulfur_Metabolism	8
K00380	9.4_B_3C	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	cys	2	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component	Sulfur_Metabolism	16
K00380	9.4_B_3B	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	cys	2	cysJ; sulfite reductase (NADPH) flavoprotein alpha-component	Sulfur_Metabolism	0
K00381	9.4_A_3C	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	cys	2	cysI; sulfite reductase (NADPH) hemoprotein beta-component	Sulfur_Metabolism	16
K00381	9.4_C_3A	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	cys	2	cysI; sulfite reductase (NADPH) hemoprotein beta-component	Sulfur_Metabolism	51
K00381	9.4_B_3C_2	9.0	Top	9_Top	Sulfur	Sulfate Reduction	Assimilatory Sulfate Reduction	Sulfite Reductase	cys	2	cysI; sulfite reductase (NADPH) hemoprotein beta-component	Sulfur_Metabolism	0
